Abstract,Authors,Categories,Countries,Date,Day,Locations,MonthName,Publisher,SJR Best Quartile,Title,Type,Universities,WebSite,Year,_id
"Botnets account for a substantial portion of cybercrime. Botmasters utilize darkweb marketplaces to promote and provide their services, which can vary from renting or buying a botnet (or parts of it), to hiring services (e.g. distributed denial of service attacks). At the same time, botnet takedown attempts have proven to be challenging, demanding a combination of technical and legal methods, and often requiring the collaboration of a plethora of entities with varying jurisdictions. In this article, we map the elements associated with the business aspect of botnets, and utilize them to develop adaptations of two widely used business models. Furthermore, we analyze the 28 most notable botnet takedown operations carried out over from 2008 to 2021, in regard to the methods employed, and illustrate the correlation between these methods and the segments of our adapted business models. Our analysis suggests that the botnet takedown methods have been mainly focused on the technical side, but not on the botnet economic components. We aim to shed light on new takedown vectors and incentivize takedown actors to expand their efforts to methods oriented more towards the business side of botnets, which could contribute towards eliminating some of the challenges that surround takedown operations.","[Dimitrios Georgoulias, Jens Myrup Pedersen, Morten Falch, Emmanouil Vasilomanolakis]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Denmark, Denmark, Denmark, Denmark]",15 December 2022,15,"[Aalborg University, Denmark, Aalborg University, Denmark, Aalborg University, Denmark, Technical University of Denmark, Denmark]",December,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Aalborg University, Aalborg University, Aalborg University, Technical University of Denmark]",ACM,2022,63ae010034ac983172e7ecea
"Cyberspace is full of uncertainty in terms of advanced and sophisticated cyber threats that are equipped with novel approaches to learn the system and propagate themselves, such as AI-powered threats. To debilitate these types of threats, a modern and intelligent Cyber Situation Awareness (SA) system needs to be developed that has the ability of monitoring and capturing various types of threats, analyzing, and devising a plan to avoid further attacks. This article provides a comprehensive study on the current state-of-the-art in the cyber SA to discuss the following aspects of SA: key design principles, framework, classifications, data collection, analysis of the techniques, and evaluation methods. Last, we highlight misconceptions, insights, and limitations of this study and suggest some future work directions to address the limitations.","[Hooman Alavizadeh, Julian Jang-Jaccard, Simon Yusuf Enoch, Harith Al-Sahaf]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, New Zealand, Nigeria, New Zealand]",03 December 2022,3,"[University of New South Wales (UNSW), Canberra, Australia, Massey University, Auckland, New Zealand, Federal University of Kashere, Gombe, Gombe, Nigeria, Victoria University of Wellington (VUW), Kelburn, Wellington, New Zealand]",December,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of New South Wales (UNSW), Massey University, Federal University of Kashere, Victoria University of Wellington (VUW)]",ACM,2022,63ae010034ac983172e7eceb
"The security and privacy of smart home systems, particularly from a home user’s perspective, have been a very active research area in recent years. However, via a meta-review of 52 review papers covering related topics (published between 2000 and 2021), this paper shows a lack of a more recent literature review on user perspectives of smart home security and privacy since the 2010s. This identified gap motivated us to conduct a systematic literature review (SLR) covering 126 relevant research papers published from 2010 to 2021. Our SLR led to the discovery of a number of important areas where further research is needed; these include holistic methods that consider a more diverse and heterogeneous range of home devices, interactions between multiple home users, complicated data flow between multiple home devices and home users, some less-studied demographic factors, and advanced conceptual frameworks. Based on these findings, we recommended key future research directions, e.g., research for a better understanding of security and privacy aspects in different multi-device and multi-user contexts, and a more comprehensive ontology on the security and privacy of the smart home covering varying types of home devices and behaviors of different types of home users.","[Nandita Pattnaik, Shujun Li, Jason R.C. Nurse]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[, , UK]",24 August 2022,24,"[, , Institute of Cyber Security for Society (iCSS) & School of Computing University of Kent, UK]",August,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[, , Institute of Cyber Security for Society (iCSS) & School of Computing University of Kent]",ACM,2022,63ae010034ac983172e7ecec
"Machine learning (ML) techniques increase the effectiveness of software engineering (SE) lifecycle activities. We systematically collected, quality-assessed, summarized, and categorized 83 reviews in ML for SE published between 2009–2022, covering 6 117 primary studies. The SE areas most tackled with ML are software quality and testing, while human-centered areas appear more challenging for ML. We propose a number of ML for SE research challenges and actions including: conducting further empirical validation and industrial studies on ML; reconsidering deficient SE methods; documenting and automating data collection and pipeline processes; reexamining how industrial practitioners distribute their proprietary data; and implementing incremental ML approaches.","[Zoe Kotti, Rafaila Galanopoulou, Diomidis Spinellis]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[, , Greece]",30 November 2022,30,"[, , Athens University of Economics and Business, Greece]",November,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[, , Athens University of Economics and Business]",ACM,2022,63ae010034ac983172e7eced
"The rapid development of Artificial Intelligence (AI) technology has enabled the deployment of various systems based on it. However, many current AI systems are found vulnerable to imperceptible attacks, biased against underrepresented groups, lacking in user privacy protection. These shortcomings degrade user experience and erode people’s trust in all AI systems. In this review, we provide AI practitioners with a comprehensive guide for building trustworthy AI systems. We first introduce the theoretical framework of important aspects of AI trustworthiness, including robustness, generalization, explainability, transparency, reproducibility, fairness, privacy preservation, and accountability. To unify currently available but fragmented approaches toward trustworthy AI, we organize them in a systematic approach that considers the entire lifecycle of AI systems, ranging from data acquisition to model development, to system development and deployment, finally to continuous monitoring and governance. In this framework, we offer concrete action items for practitioners and societal stakeholders (e.g., researchers, engineers, and regulators) to improve AI trustworthiness. Finally, we identify key opportunities and challenges for the future development of trustworthy AI systems, where we identify the need for a paradigm shift toward comprehensively trustworthy AI systems.","[Bo Li, Peng Qi, Bo Liu, Shuai Di, Jingen Liu, Jiquan Pei, Jinfeng Yi, Bowen Zhou]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[China, USA, USA, China, USA, China, China, China]",18 August 2022,18,"[JD Technology, China and Tsinghua University, China, Amazon AWS AI Labs, USA, Walmart Inc., USA, JD Technology, China, JD Technology, USA, JD Technology, China, Frontis.AI, China, Tsinghua University, China and Frontis.AI, China]",August,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[JD Technology, Amazon AWS AI Labs, Walmart Inc., JD Technology, JD Technology, JD Technology, Frontis.AI, Tsinghua University]",ACM,2022,63ae010034ac983172e7ecee
"The emerging serverless computing paradigm has attracted attention from both academia and industry. This paradigm brings benefits such as less operational complexity, a pay-as-you-go pricing model, and an auto-scaling feature. The paradigm opens up new opportunities and challenges for cloud application developers. In this article, we present a comprehensive overview of the past development as well as the recent advances in research areas related to serverless computing. First, we survey serverless applications introduced in the literature. We categorize applications in eight domains and separately discuss the objectives and the viability of the serverless paradigm along with challenges in each of those domains. We then classify those challenges into nine topics and survey the proposed solutions. Finally, we present the areas that need further attention from the research community and identify open problems.","[Hossein Shafiei, Ahmad Khonsari, Payam Mousavi]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Iran, Iran, Iran]",10 November 2022,10,"[K. N. Toosi University of Technology, Tehran, Iran, University of Tehran, Tehran, Iran, and Institute for Research in Fundamental Sciences (IPM), Tehran, Iran, University of Tehran, Tehran, Iran]",November,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[K. N. Toosi University of Technology, University of Tehran, University of Tehran]",ACM,2022,63ae010034ac983172e7ecef
"In recent years, a new generation of the Internet of Things (IoT 2.0) is emerging, based on artificial intelligence, the blockchain technology, machine learning, and the constant consolidation of pre-existing systems and subsystems into larger systems. In this work, we construct and examine a proof-of-concept prototype of such a system of systems, which consists of heterogeneous commercial off-the-shelf components, and utilises diverse communication protocols. We recognise the inherent need for lightweight security in this context, and address it by employing a low-cost state-of-the-art security solution. Our solution is based on a novel hardware and software co-engineering paradigm, utilising well-known software-based cryptographic algorithms, in order to maximise the security potential of the hardware security primitive (a Physical Unclonable Function) that is used as a security anchor. The performance of the proposed security solution is evaluated, proving its suitability even for real-time applications. Additionally, the Dolev-Yao attacker model is considered in order to assess the resilience of our solution towards attacks against the confidentiality, integrity, and availability of the examined system of systems. In this way, it is confirmed that the proposed solution is able to address the emerging security challenges of the oncoming era of systems of systems.","[Nico Mexis, Nikolaos Athanasios Anagnostopoulos]",Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q2); Software (Q3),"[Germany, Germany]",30 June 2021,30,"[University of Passau, Germany, Technical University of Darmstadt, Germany and University of Passau, Germany]",June,ACM Journal on Emerging Technologies in Computing Systems,Q2,ACM Journal on Emerging Technologies in Computing Systems,RESEARCH-ARTICLE,"[University of Passau, Technical University of Darmstadt]",ACM,2021,63ae010034ac983172e7ecf0
"Unlike general routing strategies, network coding (NC) can combine encoding functions with multi-path propagation over a network. This allows network capacity to be achieved to support complex security solutions. Moreover, NC has intrinsic security advantages against passive attacks over traditional routing techniques. However, due to the transmission of the global encoding kernels, the system is fragile to eavesdropping attacks with multiple probes. This paper proposes a generic unicast secure transmission scheme based on random linear network coding (RLNC). Specifically, the intended receiver generates a random matrix upon receiving the request from the source node, and then transmits each row vector of this matrix over a link reversely to the source node. Each intermediate node rearranges all received vectors to form a matrix by row, and then post-multiplies its local encoding kernel by this matrix to obtain a new matrix. Similarly, each row vector of the new matrix is reversely transmitted over a link to the source node. This procedure is performed until we have the source node, where the generalized inverse of the received matrix (or part of it) can be used as its local encoding kernel. Hence, the intended receiver can use the generated matrix (or the corresponding part) to decode the received data packets directly. We also analyze the security to demonstrate that the proposed scheme is at least as secure as other methods against wiretapping attacks. We also evaluate the performance of the proposed scheme to demonstrate its utility.","[Domenic Forte, Debdeep Mukhopadhyay, Ilia Polian, Yunsi Fei, Rosario Cammarota]",Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q2); Software (Q3),"[, , , , ]",30 June 2021,30,"[, , , , ]",June,ACM Journal on Emerging Technologies in Computing Systems,Q2,ACM Journal on Emerging Technologies in Computing Systems,INTRODUCTION,"[, , , , ]",ACM,2021,63ae010034ac983172e7ecf1
"The deployment of wireless sensor networks (WSN) in an untended environment and the openness of the wireless channel bring various security threats to WSN. The resource limitations of the sensor nodes make the conventional security systems less attractive for WSN. Moreover, conventional cryptography alone cannot ensure the desired security against the physical attacks on sensor nodes. Physically unclonable function (PUF) is an emerging hardware security primitive that provides low-cost hardware security exploiting the unique inherent randomness of a device. In this article, we have proposed an authentication and key sharing scheme for the WSN integrating Pedersen’s verifiable secret sharing (Pedersen’s VSS) and Shamir’s secret sharing (Shamir’s SS) scheme with PUF which ensure the desired security with low overhead. The security analysis depicts the resilience of the proposed scheme against different active, passive and physical attacks. Also, the performance analysis shows that the proposed scheme possesses low computation, communication and storage overhead. The scheme only needs to store a polynomial number of PUF challenge-response pairs to the user node. The sink or senor nodes do not require storing any secret key. Finally, the comparison with the previous protocols establishes the dominance of the proposed scheme to use in WSN.","[Mahabub Hasan Mahalat, Dipankar Karmakar, Anindan Mondal, Bibhash Sen]",Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q2); Software (Q3),"[India, India, India, India]",29 September 2021,29,"[National Institute of Technology Durgapur, Durgapur, West Bengal, India, National Institute of Technology Durgapur, Durgapur, West Bengal, India, National Institute of Technology Durgapur, Durgapur, West Bengal, India, National Institute of Technology Durgapur, Durgapur, West Bengal, India]",September,ACM Journal on Emerging Technologies in Computing Systems,Q2,ACM Journal on Emerging Technologies in Computing Systems,RESEARCH-ARTICLE,"[National Institute of Technology Durgapur, National Institute of Technology Durgapur, National Institute of Technology Durgapur, National Institute of Technology Durgapur]",ACM,2021,63ae010034ac983172e7ecf2
"With social media becoming the most frequently used mode of modern-day communications, the propagation of fake or vicious news through such modes of communication has emerged as a serious problem. The scope of the problem of fake or vicious news may range from rumour-mongering, with intent to defame someone, to manufacturing false opinions/trends impacting elections and stock exchanges to much more alarming and mala fide repercussions of inciting violence by bad actors, especially in sensitive law-and-order situations. Therefore, curbing fake or vicious news and identifying the source of such news to ensure strict accountability is the need of the hour. Researchers have been working in the area of using text analysis, labelling, artificial intelligence, and machine learning techniques for detecting fake news, but identifying the source or originator of such news for accountability is still a big challenge for which no concrete approach exists as of today. Also, there is another common problematic trend on social media whereby targeted vicious content goes viral to mobilize or instigate people with malicious intent to destabilize normalcy in society. In the proposed solution, we treat both problems of fake news and vicious news together. We propose a blockchain and keyed watermarking-based framework for social media/messaging platforms that will allow the integrity of the posted content as well as ensure accountability on the owner/user of the post. Intrinsic properties of blockchain-like transparency and immutability are advantageous for curbing fake or vicious news. After identification of fake or vicious news, its spread will be immediately curbed through backtracking as well as forward tracking. Also, observing transactions on the blockchain, the density and rate of forwarding of a particular original message going beyond a threshold can easily be checked, which could be identified as a possible malicious attempt to spread objectionable content. If the content is deemed dangerous or inappropriate, its spread will be curbed immediately. The use of the Raft consensus algorithm and bloXroute servers is proposed to enhance throughput and network scalability, respectively. Thus, the framework offers a proactive as well as reactive, practically feasible, and effective solution for curtailment of fake or vicious news on social media/messaging platforms. The proposed work is a framework for solving fake or vicious news spread problems on social media; the complete design specifications are beyond scope of the current work and will be addressed in the future.","[Sakshi Dhall, Ashutosh Dhar Dwivedi, Saibal K. Pal, Gautam Srivastava]",Computer Science (miscellaneous) (Q2),"[India, Denmark, India, Taiwan]",01 November 2021,1,"[Department of Mathematics, Jamia Millia Islamia, Delhi, India, Department of Applied Mathematics and Computer Science, Technical University of Denmark, Lyngby, Denmark, Defence Research and Development Organization (DRDO), Delhi, India, Department of Mathematics and Computer Science, Brandon University Canada and Research Center for Interneural Computing, China Medical University, Taichung, Taiwan]",November,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,"[Department of Mathematics, Department of Applied Mathematics and Computer Science, Defence Research and Development Organization (DRDO), Department of Mathematics and Computer Science]",ACM,2021,63ae010034ac983172e7ecf3
"With the development of real-time critical systems, the ever-increasing communication data traffic puts forward high-bandwidth and low-delay requirements for communication networks. Therefore, various real-time Ethernet protocols have been proposed, but these protocols are not compatible with each other. The IEEE 802.1 Working Group developed standardized protocols named Audio Video Bridging (AVB) in 2005, and renamed it Time-Sensitive Networking (TSN) later. TSN not only adds new features but also retains the original functions of AVB. Proposing real-time Ethernet modeling and design methodologies is the key to meeting high-bandwidth and low-delay communication requirements. This article surveys the modeling from AVB to TSN, mainly including: (1) AVB and TSN modeling; (2) end-to-end delay modeling; (3) real-time scheduling modeling; (4) reliability modeling; and (5) security modeling. Based on these models, this article surveys the recent advances in real-time Ethernet design methodologies from AVB to TSN: (1) end-to-end delay analysis from AVB to TSN; (2) real-time scheduling from AVB to TSN; (3) reliability-aware design for TSN; and (4) security-aware design for TSN. Among the above four points, the last two points are only for TSN, because AVB lacks reliability and security mechanisms. This article further takes the automotive use case as an example to discuss the application of TSN in automobiles. Finally, this article discusses the future trends of TSN. By surveying the recent advances and future trends, we hope to provide references for researchers interested in real-time Ethernet modeling and design methodologies for AVB and TSN.","[Akshi Kumar, Christian Esposito, Dimitrios A. Karras]",Computer Science (miscellaneous) (Q2),"[, , ]",24 December 2021,24,"[, , ]",December,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,INTRODUCTION,"[, , ]",ACM,2021,63ae010034ac983172e7ecf4
"The Internet of Medical Things (IoMT) is a definite IoT connecting atmosphere that contracts with communication via intelligent medical equipment. Activity detection, motion tracking, information extraction, consumer retrieval, etc., have all been solved due to advances in the autonomous study of human behavior from multimedia information processing. Though the IoT connecting atmosphere enables and provisions our daily actions, it too has certain disadvantages. IoTgrieves from numerous safety and confidentiality challenges, such as reiteration, impersonation, man-in-the-middle, remote hijacking, privileged-insider attack, denial of service (DoS) attacks, password guessing, and malware bouts. Hence, in this paper, Private Blockchain and Fuzzy Logic based Attack Detection system (PBFL-ADS) has been proposed for secure IoMT disease prediction using Multimedia Information Processing techniques. The proposed method utilizes Bayesian inference-based trust administration to perceived malevolent nodes in Health Smartphone Structures (HSS) for PBFL-ADS. This paper focuses on the specific form of IoMT called HSS because smartphones have been widely used in the healthcare profession. Then, blockchains have been utilized to improve Bayesian trust management's efficacy in detecting hostile nodes in HSSs. The effectiveness of the suggested technique has been assessed, and test results show that blockchain technology helps identify fraudulent nodes with an acceptable workload. The proposed PBFL-ADS method increases the HS2 scenario 1.1, processor utilization at nodes 33.5%, pattern recognition ratio 92.1%.and server utilization 40.1%.","[Taher M. Ghazal, Mohammad Kamrul Hasan, Siti Norul Huda Abdallah, Khairul Azmi Abubakkar]",Computer Science (miscellaneous) (Q2),[Malaysia],01 April 2022,1,"[Center for cyber Security, Faculty of Information Science and Technology, UniversitiKebangsaan Malaysia (UKM), 43600 Bangi, Selangor, Malaysia]",April,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,[Center for cyber Security],ACM,2022,63ae010034ac983172e7ecf5
"With the continuous development of artificial intelligence (AI) technology, AI technology has been widely used in various fields of social and economic life, bringing great impact to various industries. AI is a section of computer science, a new science technology that studies and develops theories, methods, and application systems used. The development of artificial intelligence technology first has a profound impact on the development of the accounting industry, which leads to the change of the demand for accounting talents. This paper takes the accounting industry as an example, discusses the application of artificial intelligence technology in accounting practice, analyzes its impact on the reform of accounting education, and finally proposes countermeasures and suggestions for accounting education to deal with technological challenges with the blended learning for increasing student retention and engagement in an E-learning environment. Blended learning gives greater flexibility which means being able to complete assignments any place and any time. It successfully improves students’ experience and enhances their engagement. It uses apps, games, or measurable programs and helps to balance the classroom. Practice shows that the development of artificial intelligence technology not only has a profound and extensive impact on the accounting profession and accounting education, but also has a profound impact on engineering education and other fields. An in-depth study of the challenges of artificial intelligence technology to accounting education is also of reference and guiding significance for the reform and development of engineering education and other fields.","[Changzhen Li, Xin Zhao]",Computer Science (miscellaneous) (Q2),"[China, China]",19 December 2022,19,"[Chinese Academy of Fiscal Sciences, China and Shandong Women's University, Jinan City, Shandong Province, China, Shandong Xiehe University, Jinan City, Shandong Province, China]",December,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,"[Chinese Academy of Fiscal Sciences, Shandong Xiehe University]",ACM,2022,63ae010034ac983172e7ecf6
"Many facts change over time, which is a fundamental aspect of our physical environment. In the case of pandemic articles, the user is not interested in the creation date of the document, but in the facts and the cause of the last pandemic. Fake news can be better combated by having a document with a temporal focus. Currently, neither the sequence of events nor the temporal focus is considered when obtaining news documents. Despite the limited number of temporal aspects in the available datasets, it is difficult to test and evaluate the temporal conclusions of the model. The goal of this work is to develop a temporal focus news article retrieval model based on co-training to advance research in semi-supervised learning. A mapping of the dataset is performed using 1) the evolving focus time of news articles, 2) the semi-supervised method based on coincidence contexts for learning low-dimensional continuous vectors for learning neural contrast embedding models generating focus time-based query in sequential news articles to facilitate temporal understanding by learning low-dimensional continuous vectors. A diverse dataset of news articles is used to evaluate the effectiveness of the proposed method. With semi-supervised learning and lexicon expansion, the result of the developed model can achieve 89%. The method performed better than previous baselines and traditional machine learning models with improvements of 12.65% and 4.7%, respectively.","[Usman Ahmed, Jerry Chun-Wei Lin*, Vicente Garcia Diaz]",Computer Science (miscellaneous) (Q2),"[Norway, Norway, Spain]",19 October 2022,19,"[Western Norway University of Applied Sciences, Norway, Western Norway University of Applied Sciences, Norway, University of Oviedo, Spain]",October,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,"[Western Norway University of Applied Sciences, Western Norway University of Applied Sciences, University of Oviedo]",ACM,2022,63ae010034ac983172e7ecf7
"Fake news detection recently received a lot of attention from the scientific community and demands an optimal solution with high efficiency. Several studies were conducted using unsupervised and supervised learning techniques to address the fake news identification problem. These studies, on the other hand, have some limitations like inefficient model design, improper pre-processing, and poor accuracy. Some factors contributing to poor accuracy include irrelevant features, improper model parameters, imbalanced datasets, and so on. This work proposes an optimized deep learning model for detecting fake news. The developed model uses Long Short-Term Memory (LSTM) to classify fake and real news and utilizes hyperparameter tuning methods such as grid search and random search to customize the hyperparameters of the model. The experimental results indicate that the optimized LSTM model yields 99.65% accuracy using the ISOT dataset and 45.23% accuracy using the LIAR dataset.","[R.R. Rajalaxmi, L.V. Narasimha Prasad, B. Janakiramaiah, C.S. Pavankumar, N. Neelima, V.E. Sathishkumar]",Computer Science (miscellaneous) (Q2),"[India, India, India, India, India, Republic of Korea]",23 March 2022,23,"[Department of CSE, Kongu Engineering College, Erode, India, Institute of Aeronautical Engineering, Hyderabad, Telangana, India, Prasad V. Potluri Siddhartha Institute of Technology, Vijayawada, Andhra Pradesh, India, Information Technology, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, Andhra Pradesh, India, Department of Information Technology, RVR & JC College of Engineering, Guntur, Chowdavaram, Andhra Pradesh, India, Department of Industrial Engineering, Hanyang University, Seoul, Republic of Korea]",March,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,"[Department of CSE, Institute of Aeronautical Engineering, Prasad V. Potluri Siddhartha Institute of Technology, Information Technology, Department of Information Technology, Department of Industrial Engineering]",ACM,2022,63ae010034ac983172e7ecf8
"A better understanding of how advancement in science and technology affect students’ learning behavior in academic setting can help all educators in higher education. With the advancement of science and technology, the new-generation information technology represented by ""Cloud Computing, Big Data, Internet of Things, Mobile Network and Artificial Intelligence"" has been profoundly changing the form of education, accelerating the transformation from Teaching 1.0 to Learning 2.0. To investigate the factors influencing university students using new generation of information technology in intelligent foreign language learning, this study proposed a research model based on Technology Acceptance Model (TAM). The sample data were collected from a survey of 237 students at a university. The analysis of structural equation modeling indicated that perceived usefulness, perceived ease of use, construction of foreign language intelligence classroom, and computer self-efficacy all have a positive impact on learners’ behavioral intention. These findings suggest that more emphasis should be laid on students’ learning characteristics, advantages of new generation of technology, as well as teachers’ intelligent literacy, so as to further promote the deep integration of the new-generation information technology and intelligent foreign language learning, improving the learning effectiveness ultimately and effectively.",[Shanshan Yu],Computer Science (miscellaneous) (Q2),[],27 September 2022,27,[0000-0002-6109-6021],September,ACM Transactions on Asian and Low-Resource Language Information Processing,Q2,ACM Transactions on Asian and Low-Resource Language Information Processing,RESEARCH-ARTICLE,[0000-0002-6109-6021],ACM,2022,63ae010034ac983172e7ecf9
"Remote exploitation attacks use software vulnerabilities to penetrate through a network of Internet of Things (IoT) devices. This work addresses defending against remote exploitation attacks on vulnerable IoT devices. As an attack mitigation strategy, we assume it is not possible to fix all the vulnerabilities and propose to diversify the open-source software used to manage IoT devices. Our approach is to deploy dynamic cloud-based virtual machine proxies for physical IoT devices. Our architecture leverages virtual machine proxies with diverse software configurations to mitigate vulnerable and static software configurations on physical devices. We develop an algorithm for selecting new configurations based on network anomaly detection signals to learn vulnerable software configurations on IoT devices, automatically shifting towards more secure configurations. Cloud-based proxy machines mediate requests between application clients and vulnerable IoT devices, facilitating a dynamic diversification system. We report on simulation experiments to evaluate the dynamic system. Two models of powerful adversaries are introduced and simulated against the diversified defense strategy. Our experiments show that a dynamically diversified IoT architecture can be invulnerable to large classes of attacks that would succeed against a static architecture.","[Hussain Almohri, Layne Watson, David Evans, Stephen Billups]",Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q2); Software (Q2),"[Kuwait, Kuwait, Kuwait, Kuwait]",07 September 2022,7,"[Department of Computer Science, Kuwait University, Kuwait, Departments of Mathematics, Computer Science, and Aeroespace and Ocean Engineering, Virginia Polytechnic Institute & State University, Kuwait, Department Computer Science, University of Virginia, Kuwait, Department Mathematical and Statistical Sciences, University of Colorado Denver, Kuwait]",September,ACM Transactions on Autonomous and Adaptive Systems,Q1,ACM Transactions on Autonomous and Adaptive Systems,RESEARCH-ARTICLE,"[Department of Computer Science, Departments of Mathematics, Department Computer Science, Department Mathematical and Statistical Sciences]",ACM,2022,63ae010034ac983172e7ecfa
"We present a first-order probabilistic epistemic logic, which allows combining operators of knowledge and probability within a group of possibly infinitely many agents. We define its syntax and semantics and prove the strong completeness property of the corresponding axiomatic system.1","[S. Tomović, Z. Ognjanović, D. Doder]",Computer Science (miscellaneous) (Q1); Computational Mathematics (Q2); Logic (Q2); Theoretical Computer Science (Q2),"[Serbia, Serbia, The Netherlands]",02 February 2020,2,"[Faculty of Technical Sciences, Novi Sad, Serbia, Mathematical Institute of Serbian Academy of Sciences and Arts, Belgrade, Serbia, Utrecht University, Utrecht, The Netherlands]",February,ACM Transactions on Computational Logic,Q1,ACM Transactions on Computational Logic,RESEARCH-ARTICLE,"[Faculty of Technical Sciences, Mathematical Institute of Serbian Academy of Sciences and Arts, Utrecht University]",ACM,2020,63ae010034ac983172e7ecfb
"Scaling Byzantine Fault Tolerant (BFT) systems in terms of membership is important for secure applications with large participation such as blockchains. While traditional protocols have low latency, they cannot handle many processors. Conversely, blockchains often have hundreds to thousands of processors to increase robustness, but they typically have high latency or energy costs.","[Burcu Canakci, Robbert Van Renesse]",Computer Science (miscellaneous) (Q1),"[New York, New York]",15 October 2021,15,"[Cornell University, Ithaca, New York, Cornell University, Ithaca, New York]",October,ACM Transactions on Computer Systems,Q1,ACM Transactions on Computer Systems,RESEARCH-ARTICLE,"[Cornell University, Cornell University]",ACM,2021,63ae010034ac983172e7ecfc
"We are surrounded by increasingly complex networks of smart objects, yet our understanding and attachment to them is rather limited. One way to support stronger end users’ engagement with such complex technologies is by involving them in the design process and, with the advent of Arduino prototyping platform, even in their making. While DIY practice offers the potential for stronger user engagement with physical artifacts, we know little about end users’ DIY practice of making complex electronic technologies and their potential to ensure engagement with such devices. In this article, we report on interviews with 18 participants from two green communities who built and used an open source DIY energy monitor, with the aim to explore the end users DIY practices of making such complex electronic devices. Findings indicate four key qualities of DIY monitors: transparent modularity, open-endedness, heirloom, and disruptiveness, and how they contribute to more meaningful engagement with the DIY monitors, elevating them from the status of unremarkable objects to that of things. We conclude with three implications for design for supporting end user development of complex electronic DIY: designing transparent open hardware technologies, standardizing communication protocols for the current and future DIY of IoT, and deliberately calling for personal investment and labor in the assembling of DIY kits.","[Corina Sas, Carman Neustaedter]",Human-Computer Interaction (Q3),"[United Kingdom, B.C. Canada]",11 April 2017,11,"[Lancaster University, Lancaster, United Kingdom, Simon Fraser University, Vancouver, B.C. Canada]",April,ACM Transactions on Computer-Human Interaction,Q3,ACM Transactions on Computer-Human Interaction,RESEARCH-ARTICLE,"[Lancaster University, Simon Fraser University]",ACM,2017,63ae010034ac983172e7ecfd
"In this article, we examine the fundamental and taken-for-granted infrastructures that make tech entrepreneurship possible. We report from a longitudinal ethnographic study of tech entrepreneurs situated in occupied Palestine. By investigating this polar case of tech entrepreneurship, we identify critical infrastructures that are otherwise invisible and go unnoticed. We propose infrastructural accessibility as a method to identify available and absent infrastructures in concrete trans-local situations. Infrastructural accessibility leads us to identify multiple dimensions of critical infrastructures necessary for the success of tech startups. This includes infrastructures related to location, community, funding, digital platforms, politics, and history. Our study shows how these multiple dimensions of infrastructural accessibility shape the everyday practices of tech entrepreneurs. Furthermore, our study reveals how Palestinian tech entrepreneurship is characterized by infrastructural inaccessibility due to missing infrastructures related to mobility, legal frameworks, payment gateways, and mobile Internet. Infrastructural inaccessibility seriously limits tech entrepreneurs’ potential to succeed in creating a long-term sustainable tech industry.","[Pernille Bjørn, Nina Boulus-Rødje]",Human-Computer Interaction (Q2),"[Denmark, Denmark]",11 October 2018,11,"[University of Copenhagen, Copenhagen S, Denmark, Roskilde University, Roskilde, Denmark]",October,ACM Transactions on Computer-Human Interaction,Q2,ACM Transactions on Computer-Human Interaction,RESEARCH-ARTICLE,"[University of Copenhagen, Roskilde University]",ACM,2018,63ae010034ac983172e7ecfe
