Rank;Sourceid;Title;Issn;SJR;Year;SJR Best Quartile;Categories
7359;17424;DNA and Cell Biology;10445498;0,653;2021;Q2;"Medicine (miscellaneous) (Q2); Cell Biology (Q3); Genetics (Q3); Molecular Biology (Q3)"
7360;29666;EMA - Emergency Medicine Australasia;17426731, 17426723;0,653;2021;Q1;"Emergency Medicine (Q1); Medicine (miscellaneous) (Q2)"
7361;62932;Energies;19961073;0,653;2021;Q1;"Engineering (miscellaneous) (Q1); Control and Optimization (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
7362;19900192553;Ethics and Education;17449642, 17449650;0,653;2021;Q1;"Philosophy (Q1); Education (Q2)"
7363;29197;Journal of Elder Abuse and Neglect;08946566, 15404129;0,653;2021;Q1;"Social Sciences (miscellaneous) (Q1); Geriatrics and Gerontology (Q2)"
7364;21100370881;Journal of experimental psychology. Animal learning and cognition;23298464, 23298456;0,653;2021;Q2;"Ecology, Evolution, Behavior and Systematics (Q2); Experimental and Cognitive Psychology (Q2)"
7365;20614;Journal of Food Science;00221147, 17503841;0,653;2021;Q2;Food Science (Q2)
7366;18200156708;Journal of Optometry;19891342, 18884296;0,653;2021;Q1;Optometry (Q1)
7367;4700152295;Journal of Promotion Management;10496491;0,653;2021;Q2;Marketing (Q2)
7368;13931;Journal of Property Research;14664453, 09599916;0,653;2021;Q1;"Geography, Planning and Development (Q1); Urban Studies (Q1)"
7369;5700154786;Journal of Vocational Education and Training;17475090, 13636820;0,653;2021;Q2;Education (Q2)
7370;29092;Nuclear Technology;295450;0,653;2021;Q2;"Condensed Matter Physics (Q2); Nuclear and High Energy Physics (Q2); Nuclear Energy and Engineering (Q2)"
7371;145733;Sexualities;14617382, 13634607;0,653;2021;Q1;"Anthropology (Q1); Gender Studies (Q1)"
7372;14823;Social Cognition;0278016X;0,653;2021;Q2;"Developmental and Educational Psychology (Q2); Social Psychology (Q2)"
7373;11400153317;Tissue Engineering - Part C: Methods;19373392, 19373384;0,653;2021;Q2;"Bioengineering (Q2); Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2)"
7374;21100211736;Tourism Analysis;10835423, 19433999;0,653;2021;Q2;Tourism, Leisure and Hospitality Management (Q2)
7375;25471;Blood Purification;02535068, 14219735;0,652;2021;Q2;"Hematology (Q2); Medicine (miscellaneous) (Q2); Nephrology (Q2)"
7376;5700164242;Comparative European Politics;1740388X, 14724790;0,652;2021;Q1;Political Science and International Relations (Q1)
7377;13452;Creativity Research Journal;15326934, 10400419;0,652;2021;Q1;"Visual Arts and Performing Arts (Q1); Developmental and Educational Psychology (Q2); Psychology (miscellaneous) (Q2)"
7378;144738;Employee Relations;1425455;0,652;2021;Q2;"Industrial Relations (Q2); Organizational Behavior and Human Resource Management (Q2)"
7379;23643;Health Informatics Journal;14604582, 17412811;0,652;2021;Q2;Health Informatics (Q2)
7380;5700163951;International Journal of Cultural Policy;14772833, 10286632;0,652;2021;Q1;"Cultural Studies (Q1); Sociology and Political Science (Q1)"
7381;27519;International Journal of Gynecological Pathology;15387151, 02771691;0,652;2021;Q2;"Obstetrics and Gynecology (Q2); Pathology and Forensic Medicine (Q2)"
7382;12120;Journal of Nonparametric Statistics;10290311, 10485252;0,652;2021;Q2;"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)"
7383;21100324439;npj Primary Care Respiratory Medicine;20551010;0,652;2021;Q1;"Family Practice (Q1); Public Health, Environmental and Occupational Health (Q2); Pulmonary and Respiratory Medicine (Q2)"
7384;19900189737;Revista Latina de Comunicacion Social;11385820;0,652;2021;Q1;Communication (Q1)
7385;19700167024;Science China Technological Sciences;16747321, 18691900;0,652;2021;Q1;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2)"
7386;15700154701;Vocations and Learning;1874785X, 18747868;0,652;2021;Q2;Education (Q2)
7387;24585;Zoology;9442006;0,652;2021;Q1;Animal Science and Zoology (Q1)
7388;12024;Applied Cognitive Psychology;10990720, 08884080;0,651;2021;Q1;"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)"
7389;21101017909;Archives of Academic Emergency Medicine;26454904;0,651;2021;Q1;Emergency Medicine (Q1)
7390;16598;Cardiovascular Ultrasound;14767120;0,651;2021;Q2;"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2)"
7391;5200152707;Eurasip Journal on Image and Video Processing;16875281, 16875176;0,651;2021;Q2;"Electrical and Electronic Engineering (Q2); Information Systems (Q2); Signal Processing (Q2)"
7392;21100904891;Forensic Science International: Synergy;2589871X;0,651;2021;Q1;"Law (Q1); Pathology and Forensic Medicine (Q2)"
7393;4000148704;Heart Failure Clinics;15517136;0,651;2021;Q2;"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2)"
7394;19327;Historical Methods;19401906, 01615440;0,651;2021;Q1;History (Q1)
7395;21101021458;JMIR Human Factors;22929495;0,651;2021;Q2;"Health Informatics (Q2); Human Factors and Ergonomics (Q2)"
7396;21101045272;Journal of Applied and Numerical Optimization;25625535, 25625527;0,651;2021;Q2;"Computational Mathematics (Q2); Control and Optimization (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2)"
7397;22736;Journal of Asian Economics;10490078;0,651;2021;Q2;"Economics and Econometrics (Q2); Finance (Q2)"
7398;28567;Journal of Physics Condensed Matter;09538984, 1361648X;0,651;2021;Q2;"Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2)"
7399;25319;Journal of Psychoactive Drugs;2791072;0,651;2021;Q2;"Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)"
7400;40970;Magnetic Resonance Materials in Physics, Biology, and Medicine;13528661, 09685243;0,651;2021;Q2;"Biophysics (Q2); Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)"
7401;21100853991;Movement Disorders Clinical Practice;23301619;0,651;2021;Q2;"Neurology (clinical) (Q2); Neurology (Q3)"
7402;21100854841;Pain and Therapy;2193651X, 21938237;0,651;2021;Q2;"Anesthesiology and Pain Medicine (Q2); Neurology (clinical) (Q2)"
7403;25364;Scandinavian Journal of Gastroenterology;00365521, 15027708;0,651;2021;Q2;Gastroenterology (Q2)
7404;25178;Applied Mathematics and Mechanics (English Edition);02534827, 15732754;0,65;2021;Q2;"Applied Mathematics (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
7405;4300151401;BMC Veterinary Research;17466148;0,65;2021;Q1;"Veterinary (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
7406;21100891048;Epigenetics Insights;25168657;0,65;2021;Q3;"Biochemistry (Q3); Genetics (Q3)"
7407;16297;Journal of Infrastructure Systems;10760342, 1943555X;0,65;2021;Q2;Civil and Structural Engineering (Q2)
7408;12100156325;Journal of Intervention and Statebuilding;17502977, 17502985;0,65;2021;Q1;"Law (Q1); Political Science and International Relations (Q1)"
7409;18800156706;Molecular Medicine Reports;17913004, 17912997;0,65;2021;Q3;"Biochemistry (Q3); Cancer Research (Q3); Genetics (Q3); Molecular Biology (Q3); Molecular Medicine (Q3); Oncology (Q3)"
7410;7800153101;Review of Diabetic Studies;16140575, 16136071;0,65;2021;Q2;"Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2); Medicine (miscellaneous) (Q2); Endocrinology (Q3)"
7411;29716;Reviews in Mathematical Physics;17936659, 0129055X;0,65;2021;Q2;"Mathematical Physics (Q2); Statistical and Nonlinear Physics (Q2)"
7412;20514;Seminars in Dialysis;1525139X, 08940959;0,65;2021;Q2;Nephrology (Q2)
7413;16901;Biological Trace Element Research;15590720, 01634984;0,649;2021;Q1;"Inorganic Chemistry (Q1); Clinical Biochemistry (Q2); Endocrinology, Diabetes and Metabolism (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biochemistry (medical) (Q3)"
7414;22746;Catalysis Communications;15667367;0,649;2021;Q2;"Chemistry (miscellaneous) (Q2); Process Chemistry and Technology (Q2); Catalysis (Q3)"
7415;38753;Crop Science;14350653, 0011183X;0,649;2021;Q1;Agronomy and Crop Science (Q1)
7416;23138;Current Opinion in Cardiology;02684705, 15317080;0,649;2021;Q2;Cardiology and Cardiovascular Medicine (Q2)
7417;21100356807;Current Plant Biology;22146628;0,649;2021;Q2;"Plant Science (Q2); Biochemistry (Q3); Cell Biology (Q3); Developmental Biology (Q3); Genetics (Q3)"
7418;5800179585;European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry;19969805, 18186300;0,649;2021;Q1;"Dentistry (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q2)"
7419;19700174974;Future Medicinal Chemistry;17568919, 17568927;0,649;2021;Q2;"Drug Discovery (Q2); Pharmacology (Q2); Molecular Medicine (Q3)"
7420;21100851335;Healthcare Technology Letters;20533713;0,649;2021;Q2;"Health Informatics (Q2); Health Information Management (Q3)"
7421;4000150002;International Journal of Biomedical Imaging;16874188, 16874196;0,649;2021;Q2;Radiology, Nuclear Medicine and Imaging (Q2)
7422;15567;Journal of Marital and Family Therapy;17520606, 0194472X;0,649;2021;Q1;"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2); Social Psychology (Q2)"
7423;18968;Mutation Research - Genetic Toxicology and Environmental Mutagenesis;18793592, 13835718;0,649;2021;Q2;"Health, Toxicology and Mutagenesis (Q2); Genetics (Q3)"
7424;19700167702;Notre Dame Journal of Formal Logic;00294527, 19390726;0,649;2021;Q2;Logic (Q2)
7425;21100824459;Perspectives in Clinical Research;22293485, 22295488;0,649;2021;Q2;Medicine (miscellaneous) (Q2)
7426;21101051829;Psychology of Popular Media;26896575, 26896567;0,649;2021;Q1;"Communication (Q1); Cultural Studies (Q1); Applied Psychology (Q2); Psychology (miscellaneous) (Q2)"
7427;18103;Sociological Quarterly;00380253, 15338525;0,649;2021;Q1;Sociology and Political Science (Q1)
7428;145212;Sociological Research Online;13607804;0,649;2021;Q1;Sociology and Political Science (Q1)
7429;18349;South African Medical Journal;02569574, 20785135;0,649;2021;Q2;Medicine (miscellaneous) (Q2)
7430;11700154712;Traumatology;15347656, 10859373;0,649;2021;Q1;"Emergency Medicine (Q1); Nursing (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)"
7431;14565;American Journal of Audiology;10590889, 15589137;0,648;2021;Q2;Speech and Hearing (Q2)
7432;30715;Annals of Regional Science;05701864, 14320592;0,648;2021;Q1;"Social Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q2)"
7433;4400151742;Beilstein Journal of Organic Chemistry;18605397;0,648;2021;Q2;Organic Chemistry (Q2)
7434;19806;Chinese Journal of Mechanical Engineering (English Edition);21928258, 10009345;0,648;2021;Q2;"Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)"
7435;21101021076;Current Behavioral Neuroscience Reports;21962979;0,648;2021;Q2;"Public Health, Environmental and Occupational Health (Q2); Behavioral Neuroscience (Q3)"
7436;21100225852;Current Swedish Archaeology;11027355;0,648;2021;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1)"
7437;21101034112;Emergent Materials;2522574X, 25225731;0,648;2021;Q2;"Biomaterials (Q2); Ceramics and Composites (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)"
7438;21100390107;HAU: Journal of Ethnographic Theory;20491115, 25751433;0,648;2021;Q1;Anthropology (Q1)
7439;23230;International Journal of Algebra and Computation;2181967;0,648;2021;Q2;Mathematics (miscellaneous) (Q2)
7440;15316;Japanese Journal of Infectious Diseases;13446304, 18842836;0,648;2021;Q2;"Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Microbiology (medical) (Q3)"
7441;25917;Journal of Polymers and the Environment;15728900, 15662543;0,648;2021;Q1;"Materials Chemistry (Q1); Polymers and Plastics (Q1); Environmental Engineering (Q2)"
7442;19034;Microbial Drug Resistance;10766294, 19318448;0,648;2021;Q2;"Medicine (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Microbiology (Q3); Microbiology (medical) (Q3)"
7443;18966;Mutagenesis;02678357, 14643804;0,648;2021;Q2;"Health, Toxicology and Mutagenesis (Q2); Toxicology (Q2); Genetics (Q3); Genetics (clinical) (Q3)"
7444;21100870853;npj Microgravity;23738065;0,648;2021;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2); Space and Planetary Science (Q2)"
7445;21101044442;Online Journal of Communication and Media Technologies;19863497;0,648;2021;Q1;"Communication (Q1); Media Technology (Q1); Computer Science Applications (Q2); Education (Q2)"
7446;5700166357;Social Work Education;14701227, 02615479;0,648;2021;Q1;"Social Sciences (miscellaneous) (Q1); Education (Q2); Social Work (Q2)"
7447;17543;Wireless Communications and Mobile Computing;15308677, 15308669;0,648;2021;Q2;"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)"
7448;21100230018;BioMed Research International;23146141, 23146133;0,647;2021;Q2;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2)"
7449;21100864540;Bioscience of Microbiota, Food and Health;21866953, 21863342;0,647;2021;Q2;"Applied Microbiology and Biotechnology (Q2); Food Science (Q2); Gastroenterology (Q2); Immunology (Q3); Microbiology (Q3)"
7450;21100936623;Campbell Systematic Reviews;18911803;0,647;2021;Q1;Social Sciences (miscellaneous) (Q1)
7451;21100201094;Frontiers of Structural and Civil Engineering;20952430, 20952449;0,647;2021;Q1;"Architecture (Q1); Civil and Structural Engineering (Q2)"
7452;21100912216;IET Cyber-Physical Systems: Theory and Applications;23983396;0,647;2021;Q2;"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)"
7453;20962;Journal of Engineering for Gas Turbines and Power;15288919, 07424795;0,647;2021;Q2;"Aerospace Engineering (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Mechanical Engineering (Q2); Nuclear Energy and Engineering (Q2)"
7454;20637;Journal of Management Development;2621711;0,647;2021;Q1;"History (Q1); Business, Management and Accounting (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q2)"
7455;21100215166;Journal of Obesity;20900716, 20900708;0,647;2021;Q2;Endocrinology, Diabetes and Metabolism (Q2)
7456;4500151408;Journal of Physiological Anthropology;18806791, 18806805;0,647;2021;Q1;"Anthropology (Q1); Human Factors and Ergonomics (Q2); Orthopedics and Sports Medicine (Q2); Public Health, Environmental and Occupational Health (Q2); Physiology (Q3); Physiology (medical) (Q3)"
7457;5700162931;Journal of Social Work;14680173;0,647;2021;Q1;"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)"
7458;21100210909;Nordic Journal of Digital Literacy;1891943X, 08096724;0,647;2021;Q2;"Computer Science Applications (Q2); Education (Q2); E-learning (Q2)"
7459;21100932754;Obesity Science and Practice;20552238;0,647;2021;Q2;"Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)"
7460;27773;Planetary and Space Science;320633;0,647;2021;Q2;"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
7461;17181;Public Money and Management;14679302, 09540962;0,647;2021;Q1;"Sociology and Political Science (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Public Administration (Q2)"
7462;19900191825;Theoretical Issues in Ergonomics Science;1464536X, 1463922X;0,647;2021;Q2;Human Factors and Ergonomics (Q2)
7463;21100886539;Tourism Review International;15442721, 19434421;0,647;2021;Q2;Tourism, Leisure and Hospitality Management (Q2)
7464;21100824034;Virtual Archaeology Review;19899947;0,647;2021;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Computer Science Applications (Q2)"
7465;19747;Acta Mechanica;16196937, 00015970;0,646;2021;Q2;"Computational Mechanics (Q2); Mechanical Engineering (Q2)"
7466;21101039272;Anthropocene Coasts;25614150;0,646;2021;Q2;"Nature and Landscape Conservation (Q2); Ocean Engineering (Q2); Oceanography (Q2); Waste Management and Disposal (Q2)"
7467;89175;Anthropology and Education Quarterly;01617761, 15481492;0,646;2021;Q1;"Anthropology (Q1); Education (Q2)"
7468;21100242254;Clinical Endoscopy;22342400, 22342443;0,646;2021;Q2;"Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Gastroenterology (Q3)"
7469;28469;Discrete Optimization;15725286;0,646;2021;Q2;"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2)"
7470;21100235624;Faith and Philosophy;07397046, 21533393;0,646;2021;Q1;"Philosophy (Q1); Religious Studies (Q1)"
7471;110302;Geografiska Annaler, Series B: Human Geography;04353684, 14680467;0,646;2021;Q1;Geography, Planning and Development (Q1)
7472;21100200653;Information Polity;18758754, 15701255;0,646;2021;Q1;"Communication (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Information Systems (Q2); Public Administration (Q2)"
7473;14745;International Journal of Clinical Practice;17421241, 13685031;0,646;2021;Q2;Medicine (miscellaneous) (Q2)
7474;97337;International Journal of Osteoarchaeology;10991212, 1047482X;0,646;2021;Q1;"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1)"
7475;21101020142;International Journal of Wellbeing;11798602;0,646;2021;Q1;"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Psychology (Q2); Social Psychology (Q2)"
7476;19700175053;International Journal of Women's Health;11791411;0,646;2021;Q1;"Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q2); Oncology (Q3)"
7477;130114;Journal of Dual Diagnosis;15504271, 15504263;0,646;2021;Q2;Psychiatry and Mental Health (Q2)
7478;4700152801;Journal of International Consumer Marketing;08961530, 15287068;0,646;2021;Q2;"Management Information Systems (Q2); Marketing (Q2)"
7479;23102;Journal of Pharmacy and Pharmacology;20427158, 00223573;0,646;2021;Q2;"Pharmaceutical Science (Q2); Pharmacology (Q2)"
7480;23479;Journal of Physiology and Pharmacology;08675910, 18991505;0,646;2021;Q2;"Medicine (miscellaneous) (Q2); Pharmacology (Q2); Physiology (Q3)"
7481;21100915697;Journal of Special Education Technology;23813121, 01626434;0,646;2021;Q2;"Computer Science Applications (Q2); Education (Q2)"
7482;21100916902;Learning: Research and Practice;23735082, 23735090;0,646;2021;Q2;Education (Q2)
7483;21100206006;Marine and Coastal Fisheries;19425120;0,646;2021;Q2;"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
7484;4700152703;Stochastics and Dynamics;2194937;0,646;2021;Q2;Modeling and Simulation (Q2)
7485;11600154157;TQM Journal;17542731;0,646;2021;Q2;"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Strategy and Management (Q2)"
7486;25159;ACI Materials Journal;0889325X;0,645;2021;Q2;"Building and Construction (Q2); Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2)"
7487;28710;British Journal of Social Work;00453102, 1468263X;0,645;2021;Q1;"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)"
7488;21101055706;Children;22279067;0,645;2021;Q2;Pediatrics, Perinatology and Child Health (Q2)
7489;19793;Entomologia Experimentalis et Applicata;15707458, 00138703;0,645;2021;Q1;"Insect Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
7490;17258;IEEE Electrical Insulation Magazine;8837554;0,645;2021;Q2;"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)"
7491;18972;Information Economics and Policy;1676245;0,645;2021;Q2;"Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2)"
7492;17700156604;International Journal of Civil Engineering;17350522;0,645;2021;Q2;Civil and Structural Engineering (Q2)
7493;23457;Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology;1432136X, 01741578;0,645;2021;Q1;"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Biochemistry (Q3); Endocrinology (Q3); Physiology (Q3)"
7494;21100834321;Journal of Dynamic Behavior of Materials;21997446, 21997454;0,645;2021;Q2;"Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2)"
7495;18297;Journal of Feline Medicine and Surgery;1098612X, 15322750;0,645;2021;Q1;Small Animals (Q1)
7496;19714;Journal of Organizational Computing and Electronic Commerce;15327744, 10919392;0,645;2021;Q2;"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2)"
7497;20634;Journal of Texture Studies;00224901, 17454603;0,645;2021;Q2;"Food Science (Q2); Pharmaceutical Science (Q2)"
7498;26867;Millennium: Journal of International Studies;03058298, 14779021;0,645;2021;Q1;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
7499;21100848457;Regenerative Therapy;23523204;0,645;2021;Q2;"Biomaterials (Q2); Biomedical Engineering (Q2); Developmental Biology (Q3)"
7500;19700169607;Annals of Public and Cooperative Economics;13704788, 14678292;0,644;2021;Q1;"Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
7501;14183;Aphasiology;14645041, 02687038;0,644;2021;Q1;"Linguistics and Language (Q1); LPN and LVN (Q1); Developmental and Educational Psychology (Q2); Neurology (clinical) (Q2); Otorhinolaryngology (Q2); Neurology (Q3)"
7502;21100904307;European Journal of International Security;20575637, 20575645;0,644;2021;Q1;"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
7503;21101020132;Fractal and Fractional;25043110;0,644;2021;Q2;"Analysis (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)"
7504;5800207503;Future Microbiology;17460921, 17460913;0,644;2021;Q3;"Microbiology (Q3); Microbiology (medical) (Q3)"
7505;28216;Geocarto International;17520762, 10106049;0,644;2021;Q1;"Geography, Planning and Development (Q1); Water Science and Technology (Q2)"
7506;12100157191;Innate Immunity;17534259, 17534267;0,644;2021;Q2;"Infectious Diseases (Q2); Cell Biology (Q3); Immunology (Q3); Microbiology (Q3); Molecular Biology (Q3)"
7507;19700201405;International Journal of Micro Air Vehicles;17568293;0,644;2021;Q2;Aerospace Engineering (Q2)
7508;6400153111;Journal of Ethnobiology and Ethnomedicine;17464269;0,644;2021;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Complementary and Alternative Medicine (Q1); Cultural Studies (Q1); Health (social science) (Q2)"
7509;19400158707;Journal of Saudi Chemical Society;13196103;0,644;2021;Q2;Chemistry (miscellaneous) (Q2)
7510;14901;Journal of Thermal Biology;18790992, 03064565;0,644;2021;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry (Q3); Developmental Biology (Q3); Physiology (Q3)"
7511;21100446963;Materials for Renewable and Sustainable Energy;21941459, 21941467;0,644;2021;Q1;"Materials Chemistry (Q1); Electronic, Optical and Magnetic Materials (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
7512;22313;Performance Evaluation;1665316;0,644;2021;Q2;"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Modeling and Simulation (Q2); Software (Q2)"
7513;21100422153;SoftwareX;23527110;0,644;2021;Q2;"Computer Science Applications (Q2); Software (Q2)"
7514;5000159300;Austral Ecology;14429985;0,643;2021;Q2;"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
7515;21100780696;Big Data;21676461, 2167647X;0,643;2021;Q2;"Computer Science Applications (Q2); Information Systems (Q2); Information Systems and Management (Q2)"
7516;69955;Contributions to Zoology;13834517;0,643;2021;Q1;"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
7517;19600157794;Electrocatalysis;18682529, 18685994;0,643;2021;Q2;Electrochemistry (Q2)
7518;14316;Harvard Law Review;0017811X;0,643;2021;Q1;Law (Q1)
7519;14896;International Journal of Psychology;1464066X, 00207594;0,643;2021;Q1;"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)"
7520;23346;Journal of Environment and Development;15525465, 10704965;0,643;2021;Q1;"Development (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
7521;16723;Journal of Intellectual and Developmental Disability;13668250, 14699532;0,643;2021;Q1;"Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)"
7522;21100832984;Journal of Language Aggression and Conflict;22131272;0,643;2021;Q1;"Communication (Q1); Linguistics and Language (Q1); Surfaces and Interfaces (Q2)"
7523;19312;Lichenologist;00242829, 10961135;0,643;2021;Q2;Ecology, Evolution, Behavior and Systematics (Q2)
7524;16430;Meitan Xuebao/Journal of the China Coal Society;2539993;0,643;2021;Q2;"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Mechanical Engineering (Q2)"
7525;29320;Online Journal of Issues in Nursing;10913734;0,643;2021;Q1;Issues, Ethics and Legal Aspects (Q1)
7526;80321;Pacific Review;09512748, 14701332;0,643;2021;Q1;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
7527;130008;Photodiagnosis and Photodynamic Therapy;15721000;0,643;2021;Q2;"Biophysics (Q2); Dermatology (Q2); Pharmacology (medical) (Q2); Oncology (Q3)"
7528;8000153140;Polar Science;18739652;0,643;2021;Q2;"Aquatic Science (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
7529;13170;Tumor Biology;14230380, 10104283;0,643;2021;Q2;"Medicine (miscellaneous) (Q2); Cancer Research (Q3)"
7530;21380;Vox Sanguinis;14230410, 00429007;0,643;2021;Q2;"Hematology (Q2); Medicine (miscellaneous) (Q2)"
7531;24568;Advances in Applied Probability;00018678, 14756064;0,642;2021;Q2;"Applied Mathematics (Q2); Statistics and Probability (Q2)"
7532;26352;Bulletin - Societie Geologique de France;379409;0,642;2021;Q2;"Earth and Planetary Sciences (miscellaneous) (Q2); Geology (Q2)"
7533;21100448930;Chinese Clinical Oncology;23043873, 23043865;0,642;2021;Q2;"Medicine (miscellaneous) (Q2); Oncology (Q3)"
7534;3500148021;"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology";15314332, 10956433;0,642;2021;Q1;"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Molecular Biology (Q3); Physiology (Q3)"
7535;21100833030;Galaxies;20754434;0,642;2021;Q2;Astronomy and Astrophysics (Q2)
7536;29601;Hydrology Research;22247955, 00291277, 19989563;0,642;2021;Q2;Water Science and Technology (Q2)
7537;29872;Integrative Cancer Therapies;1552695X, 15347354;0,642;2021;Q1;"Complementary and Alternative Medicine (Q1); Oncology (Q3)"
7538;19700188160;Journal of Comparative Policy Analysis: Research and Practice;13876988, 15725448;0,642;2021;Q1;"Sociology and Political Science (Q1); Public Administration (Q2)"
7539;21100217628;Journal of Developmental Origins of Health and Disease;20401752, 20401744;0,642;2021;Q2;Medicine (miscellaneous) (Q2)
7540;12717;Journal of Nutrition Education and Behavior;17088259, 14994046, 18782620;0,642;2021;Q2;"Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
7541;21100870602;Journal of Sustainable Finance and Investment;20430809, 20430795;0,642;2021;Q1;"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Finance (Q2)"
